glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.660000000000004,-79.46000000000001,0.25556085020062747,2,0,0.0,0.22932388739766837
43.660000000000004,-79.455,0.30546105744594104,16,5,0.3125,0.4786307057241706
43.660000000000004,-79.45,0.1558245606507247,2,0,0.0,0.1421590698436137
43.660000000000004,-79.44500000000001,0.2263396734038067,32,5,0.15625,0.3753552312024823
43.660000000000004,-79.44,0.24357035919986655,19,0,0.0,0.26963860588162963
43.660000000000004,-79.435,0.18245545377698003,32,0,0.0,0.25506940848832926
43.660000000000004,-79.43,0.23295282513767512,18,4,0.2222222222222222,0.37389855905557484
43.660000000000004,-79.425,0.226222853696356,27,3,0.1111111111111111,0.33664421361869296
43.660000000000004,-79.42,0.17777068187161713,4,0,0.0,0.16731469189519682
43.660000000000004,-79.415,0.23182922452951205,2,0,0.0,0.20858356478070464
43.660000000000004,-79.41,0.26925652282189344,29,0,0.0,0.32196583353228414
43.660000000000004,-79.405,0.20332199713519117,2,0,0.0,0.18366959128107235
43.660000000000004,-79.4,0.26137214565955424,31,2,0.06451612903225806,0.3548814396799893
43.660000000000004,-79.395,0.2736541075194573,15,0,0.0,0.28397889200076476
43.660000000000004,-79.39,0.3169486419658007,34,5,0.14705882352941177,0.45569935338746376
43.660000000000004,-79.385,0.38800055201119926,58,5,0.08620689655172414,0.5575952990279118
43.660000000000004,-79.38,0.4081377779990121,50,3,0.06,0.5375491452785686
43.660000000000004,-79.375,0.3794105299216142,45,4,0.08888888888888889,0.5126520351858946
43.660000000000004,-79.37,0.3985200710380672,35,11,0.3142857142857143,0.6176658656329509
43.660000000000004,-79.365,0.30492200641458805,30,0,0.0,0.35612365875279195
43.660000000000004,-79.36,0.24582398505732353,18,2,0.1111111111111111,0.32688382096983926
43.660000000000004,-79.355,0.30679707609582685,23,5,0.21739130434782608,0.4508411236225588
43.660000000000004,-79.35000000000001,0.3048836133549766,52,8,0.15384615384615385,0.502495886737722
43.660000000000004,-79.345,0.23087647411382656,14,0,0.0,0.24360538296387135
43.660000000000004,-79.34,0.19955110368736698,35,0,0.0,0.27897382026187445
